"id";"timestamp";"raw_value";"category"
124;"2026-03-09 22:17:05";1.29;0
125;"2026-03-09 22:17:15";1.06;0
126;"2026-03-09 22:17:24";1.0;0
127;"2026-03-09 22:17:36";1.38;0
128;"2026-03-09 22:18:00";3.33;1
129;"2026-03-09 22:18:15";1.63;0
130;"2026-03-09 22:18:32";2.07;1
131;"2026-03-09 22:18:45";1.48;0
132;"2026-03-09 22:19:28";15.45;2
133;"2026-03-09 22:19:41";1.47;0
134;"2026-03-09 22:19:55";1.5;0
135;"2026-03-09 22:20:13";2.19;1
136;"2026-03-09 22:20:31";2.11;1
137;"2026-03-09 22:20:40";1.0;0
138;"2026-03-09 22:21:02";2.76;1
139;"2026-03-09 22:21:16";1.59;0
140;"2026-03-09 22:21:39";3.26;1
141;"2026-03-09 22:21:52";1.48;0
142;"2026-03-09 22:22:18";3.66;1
143;"2026-03-09 22:22:39";2.74;1
144;"2026-03-09 22:22:49";1.08;0
145;"2026-03-09 22:23:14";3.69;1
146;"2026-03-09 22:23:39";3.75;1
147;"2026-03-09 22:24:15";8.26;1
148;"2026-03-09 22:24:42";4.2;1
149;"2026-03-09 22:24:56";1.52;0
150;"2026-03-09 22:25:13";1.92;0
151;"2026-03-09 22:25:34";2.7;1
152;"2026-03-09 22:25:55";2.8;1
153;"2026-03-09 22:26:06";1.23;0
154;"2026-03-09 22:26:30";3.24;1
155;"2026-03-09 22:26:59";4.73;1
156;"2026-03-09 22:27:08";1.0;0
157;"2026-03-09 22:27:21";1.5;0
158;"2026-03-09 22:27:47";3.9;1
159;"2026-03-09 22:28:09";2.87;1
160;"2026-03-09 22:28:20";1.22;0
161;"2026-03-09 22:28:32";1.35;0
162;"2026-03-09 22:28:43";1.2;0
163;"2026-03-09 22:28:57";1.67;0
164;"2026-03-09 22:29:08";1.2;0
165;"2026-03-09 22:29:27";2.2;1
166;"2026-03-09 22:29:41";1.63;0
167;"2026-03-09 22:30:01";2.54;1
168;"2026-03-09 22:30:22";2.7;1
169;"2026-03-09 22:30:48";3.79;1
170;"2026-03-09 22:31:06";2.07;1
171;"2026-03-09 22:31:17";1.27;0
172;"2026-03-09 22:31:40";2.99;1
173;"2026-03-09 22:32:01";2.75;1
174;"2026-03-09 22:32:40";10.52;2
175;"2026-03-09 22:32:50";1.07;0
176;"2026-03-09 22:33:08";2.22;1
177;"2026-03-09 22:33:26";2.08;1
178;"2026-03-09 22:34:49";327.01;2
179;"2026-03-09 22:35:08";2.41;1
180;"2026-03-09 22:35:58";25.07;2
181;"2026-03-09 22:36:08";1.17;0
182;"2026-03-09 22:36:21";1.4;0
183;"2026-03-09 22:36:41";2.47;1
184;"2026-03-09 22:37:21";12.57;2
185;"2026-03-09 22:37:31";1.13;0
186;"2026-03-09 22:37:41";1.0;0
187;"2026-03-09 22:38:08";4.43;1
188;"2026-03-09 22:38:17";1.0;0
189;"2026-03-09 22:38:27";1.1;0
190;"2026-03-09 22:38:44";1.91;0
191;"2026-03-09 22:38:54";1.05;0
192;"2026-03-09 22:39:07";1.57;0
193;"2026-03-09 22:39:35";4.27;1
194;"2026-03-09 22:39:50";1.8;0
195;"2026-03-09 22:40:08";2.0;1
196;"2026-03-09 22:40:22";1.69;0
197;"2026-03-09 22:40:32";1.07;0
198;"2026-03-09 22:40:57";3.46;1
199;"2026-03-09 22:41:14";2.06;1
200;"2026-03-09 22:41:41";3.98;1
201;"2026-03-09 22:42:09";4.8;1
202;"2026-03-09 22:42:24";1.71;0
203;"2026-03-09 22:42:58";7.07;1
204;"2026-03-09 22:43:08";1.04;0
205;"2026-03-09 22:43:46";10.02;2
206;"2026-03-09 22:44:04";2.04;1
207;"2026-03-09 22:44:15";1.29;0
208;"2026-03-09 22:44:35";2.33;1
209;"2026-03-09 22:44:51";1.85;0
210;"2026-03-09 22:45:02";1.23;0
211;"2026-03-09 22:45:32";5.53;1
212;"2026-03-09 22:46:30";46.53;2
213;"2026-03-09 22:46:54";3.28;1
214;"2026-03-09 22:47:03";1.0;0
215;"2026-03-09 22:47:12";1.0;0
216;"2026-03-09 22:47:39";4.06;1
217;"2026-03-09 22:47:48";1.0;0
218;"2026-03-09 22:48:02";1.59;0
219;"2026-03-09 22:48:33";5.51;1
220;"2026-03-09 22:48:54";2.61;1
221;"2026-03-09 22:49:33";10.02;2
222;"2026-03-09 22:49:54";2.69;1
223;"2026-03-09 22:51:05";137.61;2
224;"2026-03-09 22:51:16";1.22;0
225;"2026-03-09 22:51:27";1.27;0
226;"2026-03-09 22:51:45";2.1;1
227;"2026-03-09 22:51:56";1.23;0
228;"2026-03-09 22:52:08";1.37;0
229;"2026-03-09 22:52:25";1.94;0
230;"2026-03-09 22:52:52";4.13;1
231;"2026-03-09 22:53:24";6.27;1
232;"2026-03-09 22:53:35";1.24;0
233;"2026-03-09 22:53:49";1.56;0
234;"2026-03-09 22:54:02";1.41;0
235;"2026-03-09 22:54:39";8.97;1
236;"2026-03-09 22:54:48";1.06;0
237;"2026-03-09 22:55:01";1.42;0
238;"2026-03-09 22:55:26";3.53;1
239;"2026-03-09 22:55:39";1.55;0
240;"2026-03-09 22:55:50";1.14;0
241;"2026-03-09 22:56:07";2.09;1
242;"2026-03-09 22:56:20";1.4;0
243;"2026-03-09 22:56:34";1.63;0
244;"2026-03-09 22:56:43";1.03;0
245;"2026-03-09 22:56:58";1.62;0
246;"2026-03-09 22:57:16";2.23;1
247;"2026-03-09 22:57:35";2.22;1
248;"2026-03-09 22:57:48";1.48;0
249;"2026-03-09 22:58:02";1.56;0
250;"2026-03-09 22:58:33";5.93;1
251;"2026-03-09 22:58:56";3.1;1
252;"2026-03-09 22:59:16";2.52;1
253;"2026-03-09 22:59:37";2.67;1
254;"2026-03-09 23:00:16";10.65;2
255;"2026-03-09 23:00:33";1.95;0
256;"2026-03-09 23:00:57";3.28;1
257;"2026-03-09 23:01:44";19.47;2
258;"2026-03-09 23:02:48";78.21;2
259;"2026-03-09 23:03:29";12.37;2
260;"2026-03-09 23:03:38";1.0;0
261;"2026-03-09 23:03:54";1.83;0
262;"2026-03-09 23:04:03";1.05;0
263;"2026-03-09 23:04:42";10.6;2
264;"2026-03-09 23:05:52";118.43;2
265;"2026-03-09 23:06:04";1.33;0
266;"2026-03-09 23:06:14";1.18;0
267;"2026-03-09 23:06:24";1.04;0
268;"2026-03-09 23:06:48";3.39;1
269;"2026-03-09 23:06:57";1.0;0
270;"2026-03-09 23:07:33";8.17;1
271;"2026-03-09 23:07:55";2.9;1
272;"2026-03-09 23:08:07";1.3;0
273;"2026-03-09 23:08:16";1.01;0
274;"2026-03-09 23:08:25";1.03;0
275;"2026-03-09 23:08:58";6.53;1
276;"2026-03-09 23:09:16";2.09;1
277;"2026-03-09 23:09:25";1.0;0
278;"2026-03-09 23:10:12";20.3;2
279;"2026-03-09 23:10:38";3.78;1
280;"2026-03-09 23:11:16";9.58;1
281;"2026-03-09 23:11:33";1.96;0
282;"2026-03-09 23:11:54";2.81;1
283;"2026-03-09 23:12:14";2.35;1
284;"2026-03-09 23:12:38";3.55;1
285;"2026-03-09 23:12:48";1.01;0
286;"2026-03-09 23:13:14";4.06;1
287;"2026-03-09 23:13:41";4.01;1
288;"2026-03-09 23:13:59";2.16;1
289;"2026-03-09 23:14:16";1.98;0
290;"2026-03-09 23:14:27";1.2;0
291;"2026-03-09 23:15:21";35.47;2
292;"2026-03-09 23:15:31";1.11;0
293;"2026-03-09 23:16:16";17.9;2
294;"2026-03-09 23:16:57";12.28;2
295;"2026-03-09 23:17:35";9.81;1
296;"2026-03-09 23:17:45";1.15;0
297;"2026-03-09 23:17:55";1.03;0
298;"2026-03-09 23:18:30";8.15;1
299;"2026-03-09 23:18:46";1.84;0
300;"2026-03-09 23:19:02";1.78;0
301;"2026-03-09 23:19:13";1.19;0
302;"2026-03-09 23:19:22";1.0;0
303;"2026-03-09 23:20:11";25.21;2
304;"2026-03-09 23:20:26";1.65;0
305;"2026-03-09 23:21:06";11.76;2
306;"2026-03-09 23:21:24";2.18;1
307;"2026-03-09 23:21:51";4.04;1
308;"2026-03-09 23:22:01";1.14;0
309;"2026-03-09 23:22:15";1.54;0
310;"2026-03-09 23:22:42";4.42;1
311;"2026-03-09 23:22:52";1.02;0
312;"2026-03-09 23:23:10";2.25;1
313;"2026-03-09 23:23:46";7.76;1
314;"2026-03-09 23:24:04";2.1;1
315;"2026-03-09 23:24:28";3.46;1
316;"2026-03-09 23:24:46";2.05;1
317;"2026-03-09 23:25:13";4.27;1
318;"2026-03-09 23:25:40";4.25;1
319;"2026-03-09 23:26:06";3.8;1
320;"2026-03-09 23:26:18";1.35;0
321;"2026-03-09 23:26:27";1.03;0
322;"2026-03-09 23:26:39";1.33;0
323;"2026-03-09 23:26:51";1.41;0
324;"2026-03-09 23:27:21";5.03;1
325;"2026-03-09 23:27:31";1.16;0
326;"2026-03-09 23:27:41";1.03;0
327;"2026-03-09 23:27:54";1.51;0
328;"2026-03-09 23:29:40";2037.08;2
329;"2026-03-09 23:29:49";1.0;0
330;"2026-03-09 23:30:09";2.59;1
331;"2026-03-09 23:30:29";2.43;1
332;"2026-03-09 23:30:53";3.33;1
333;"2026-03-09 23:31:13";2.44;1
334;"2026-03-09 23:31:22";1.05;0
335;"2026-03-09 23:31:41";2.16;1
336;"2026-03-09 23:31:56";1.7;0
337;"2026-03-09 23:32:13";2.04;1
338;"2026-03-09 23:32:24";1.23;0
339;"2026-03-09 23:32:48";3.31;1
340;"2026-03-09 23:32:59";1.21;0
341;"2026-03-09 23:33:13";1.64;0
342;"2026-03-09 23:33:24";1.2;0
343;"2026-03-09 23:34:08";16.29;2
344;"2026-03-09 23:34:35";4.34;1
345;"2026-03-09 23:34:59";3.19;1
346;"2026-03-09 23:35:13";1.59;0
347;"2026-03-09 23:35:22";1.0;0
348;"2026-03-09 23:35:41";2.3;1
349;"2026-03-09 23:36:00";2.33;1
350;"2026-03-09 23:36:09";1.0;0
351;"2026-03-09 23:36:20";1.2;0
352;"2026-03-09 23:36:41";2.67;1
353;"2026-03-09 23:36:55";1.6;0
354;"2026-03-09 23:37:05";1.05;0
355;"2026-03-09 23:37:14";1.0;0
356;"2026-03-09 23:37:25";1.27;0
357;"2026-03-09 23:37:50";3.46;1
358;"2026-03-09 23:38:17";4.45;1
359;"2026-03-09 23:39:00";15.32;2
360;"2026-03-09 23:39:09";1.0;0
361;"2026-03-09 23:39:21";1.28;0
362;"2026-03-09 23:40:08";20.32;2
363;"2026-03-09 23:40:17";1.04;0
364;"2026-03-09 23:40:29";1.28;0
365;"2026-03-09 23:40:38";1.01;0
366;"2026-03-09 23:41:08";5.52;1
367;"2026-03-09 23:41:32";3.15;1
368;"2026-03-09 23:41:41";1.0;0
369;"2026-03-09 23:42:07";3.85;1
370;"2026-03-09 23:42:16";1.0;0
371;"2026-03-09 23:42:37";2.68;1
