"id";"timestamp";"raw_value";"category";"current_diff";"max_diff"
231;"2026-03-13 12:20:32";3.4;1;0;0
232;"2026-03-13 12:20:41";1.03;0;0;0
233;"2026-03-13 12:20:54";1.43;0;0;0
234;"2026-03-13 12:21:18";3.2;1;0;0
235;"2026-03-13 12:21:28";1.13;0;0;0
236;"2026-03-13 12:21:49";2.77;1;0;0
237;"2026-03-13 12:22:00";1.17;0;0;0
238;"2026-03-13 12:22:10";1.08;0;0;0
239;"2026-03-13 12:23:02";31.81;2;0;0
240;"2026-03-13 12:23:34";6.22;1;0;0
241;"2026-03-13 12:23:47";1.46;0;0;0
242;"2026-03-13 12:23:59";1.35;0;0;0
243;"2026-03-13 12:24:13";1.52;0;0;0
244;"2026-03-13 12:24:25";1.33;0;0;0
245;"2026-03-13 12:24:38";1.57;0;0;0
246;"2026-03-13 12:24:55";1.84;0;0;0
247;"2026-03-13 12:25:05";1.14;0;0;0
248;"2026-03-13 12:25:16";1.29;0;0;0
249;"2026-03-13 12:25:48";6.0;1;0;0
250;"2026-03-13 12:26:03";1.75;0;0;0
251;"2026-03-13 12:26:12";1.0;0;0;0
252;"2026-03-13 12:26:26";1.49;0;0;0
253;"2026-03-13 12:26:36";1.13;0;0;0
254;"2026-03-13 12:27:00";3.57;1;0;0
255;"2026-03-13 12:27:21";2.56;1;0;0
256;"2026-03-13 12:27:33";1.33;0;0;0
257;"2026-03-13 12:28:01";4.5;1;0;0
258;"2026-03-13 12:28:18";1.94;0;0;0
259;"2026-03-13 12:28:30";1.35;0;0;0
260;"2026-03-13 12:28:42";1.41;0;0;0
261;"2026-03-13 12:28:51";1.0;0;0;0
262;"2026-03-13 12:29:01";1.11;0;0;0
263;"2026-03-13 12:29:24";2.98;1;0;0
264;"2026-03-13 12:29:55";5.85;1;0;0
265;"2026-03-13 12:30:10";1.73;0;0;0
266;"2026-03-13 12:30:20";1.09;0;0;0
267;"2026-03-13 12:30:30";1.13;0;0;0
268;"2026-03-13 12:30:45";1.65;0;0;0
269;"2026-03-13 12:31:16";5.76;1;0;0
270;"2026-03-13 12:31:36";2.45;1;0;0
271;"2026-03-13 12:32:15";10.95;2;0;0
272;"2026-03-13 12:32:39";3.23;1;0;0
273;"2026-03-13 12:33:20";13.0;2;0;0
274;"2026-03-13 12:33:33";1.53;0;0;0
275;"2026-03-13 12:33:42";1.02;0;0;0
276;"2026-03-13 12:33:56";1.59;0;0;0
277;"2026-03-13 12:34:06";1.0;0;0;0
278;"2026-03-13 12:34:30";3.5;1;0;0
279;"2026-03-13 12:34:43";1.42;0;0;0
280;"2026-03-13 12:35:16";6.6;1;0;0
281;"2026-03-13 12:35:26";1.12;0;0;0
282;"2026-03-13 12:36:00";7.17;1;0;0
283;"2026-03-13 12:36:22";2.93;1;0;0
284;"2026-03-13 12:36:41";2.25;1;0;0
285;"2026-03-13 12:36:50";1.08;0;0;0
286;"2026-03-13 12:37:16";3.88;1;0;0
287;"2026-03-13 12:37:27";1.2;0;0;0
288;"2026-03-13 12:38:06";10.87;2;0;0
289;"2026-03-13 12:38:38";5.82;1;0;0
290;"2026-03-13 12:38:53";1.81;0;0;0
291;"2026-03-13 12:39:25";5.81;1;0;0
292;"2026-03-13 12:39:35";1.21;0;0;0
293;"2026-03-13 12:39:47";1.3;0;0;0
294;"2026-03-13 12:40:14";4.15;1;0;0
295;"2026-03-13 12:40:35";2.69;1;0;0
296;"2026-03-13 12:40:48";1.45;0;0;0
297;"2026-03-13 12:41:04";1.87;0;0;0
298;"2026-03-13 12:41:22";2.11;1;0;0
299;"2026-03-13 12:41:36";1.61;0;0;0
300;"2026-03-13 12:42:16";10.97;2;0;0
301;"2026-03-13 12:42:28";1.41;0;0;0
302;"2026-03-13 12:42:40";1.33;0;0;0
303;"2026-03-13 12:42:52";1.35;0;0;0
304;"2026-03-13 12:43:02";1.08;0;0;0
305;"2026-03-13 12:43:15";1.5;0;0;0
306;"2026-03-13 12:43:25";1.08;0;0;0
307;"2026-03-13 12:44:02";8.76;1;0;0
308;"2026-03-13 12:44:11";1.07;0;0;0
309;"2026-03-13 12:44:25";1.53;0;0;0
310;"2026-03-13 12:44:37";1.36;0;0;0
311;"2026-03-13 12:45:08";5.92;1;0;0
312;"2026-03-13 12:45:18";1.09;0;0;0
313;"2026-03-13 12:45:30";1.33;0;0;0
314;"2026-03-13 12:45:45";1.68;0;0;0
315;"2026-03-13 12:46:12";4.39;1;0;0
316;"2026-03-13 12:46:25";1.4;0;0;0
317;"2026-03-13 12:46:34";1.03;0;0;0
318;"2026-03-13 12:46:49";1.68;0;0;0
319;"2026-03-13 12:47:18";4.81;1;0;0
320;"2026-03-13 12:47:27";1.01;0;0;0
321;"2026-03-13 12:47:58";5.52;1;0;0
322;"2026-03-13 12:48:14";1.94;0;0;0
323;"2026-03-13 12:48:49";7.18;1;0;0
324;"2026-03-13 12:49:14";3.65;1;0;0
325;"2026-03-13 12:49:23";1.0;0;0;0
326;"2026-03-13 12:49:40";2.0;1;0;0
327;"2026-03-13 12:49:52";1.38;0;0;0
328;"2026-03-13 12:50:17";3.46;1;0;0
329;"2026-03-13 12:50:42";3.6;1;0;0
330;"2026-03-13 12:51:12";5.26;1;0;0
331;"2026-03-13 12:52:28";210.88;2;0;0
332;"2026-03-13 12:52:48";2.45;1;0;0
333;"2026-03-13 12:53:02";1.56;0;0;0
334;"2026-03-13 12:53:11";1.02;0;0;0
335;"2026-03-13 12:53:55";16.77;2;0;0
336;"2026-03-13 12:54:18";3.04;1;0;0
337;"2026-03-13 12:54:28";1.13;0;0;0
338;"2026-03-13 12:55:16";21.37;2;0;0
339;"2026-03-13 12:55:32";1.8;0;0;0
340;"2026-03-13 12:55:52";2.52;1;0;0
341;"2026-03-13 12:56:08";1.82;0;0;0
342;"2026-03-13 12:56:25";1.95;0;0;0
343;"2026-03-13 12:56:42";1.96;0;0;0
344;"2026-03-13 12:57:00";2.18;1;0;0
345;"2026-03-13 12:57:10";1.11;0;0;0
346;"2026-03-13 12:57:20";1.06;0;0;0
347;"2026-03-13 12:57:41";2.66;1;0;0
348;"2026-03-13 12:58:49";102.91;2;0;0
349;"2026-03-13 12:59:06";1.98;0;0;0
350;"2026-03-13 12:59:36";5.0;1;0;0
351;"2026-03-13 12:59:45";1.0;0;0;0
352;"2026-03-13 13:00:18";6.67;1;0;0
353;"2026-03-13 13:00:42";3.29;1;0;0
354;"2026-03-13 13:00:51";1.01;0;0;0
355;"2026-03-13 13:01:16";3.71;1;0;0
356;"2026-03-13 13:01:41";3.53;1;0;0
357;"2026-03-13 13:01:54";1.54;0;0;0
358;"2026-03-13 13:02:12";2.06;1;0;0
359;"2026-03-13 13:02:32";2.52;1;0;0
360;"2026-03-13 13:03:08";8.4;1;0;0
361;"2026-03-13 13:03:18";1.0;0;0;0
362;"2026-03-13 13:04:34";200.88;2;0;0
363;"2026-03-13 13:04:54";2.53;1;0;0
364;"2026-03-13 13:05:11";1.97;0;0;0
365;"2026-03-13 13:05:22";1.2;0;0;0
366;"2026-03-13 13:05:53";5.61;1;0;0
367;"2026-03-13 13:06:18";3.71;1;0;0
368;"2026-03-13 13:06:28";1.14;0;0;0
369;"2026-03-13 13:06:45";1.92;0;0;0
370;"2026-03-13 13:06:55";1.12;0;0;0
371;"2026-03-13 13:07:19";3.25;1;0;0
372;"2026-03-13 13:07:36";1.92;0;0;0
373;"2026-03-13 13:07:52";1.88;0;0;0
374;"2026-03-13 13:08:08";1.87;0;0;0
375;"2026-03-13 13:08:32";3.21;1;0;0
376;"2026-03-13 13:08:49";1.99;0;0;0
377;"2026-03-13 13:10:27";7.1;1;0;0
378;"2026-03-13 13:10:38";1.18;0;0;0
379;"2026-03-13 13:10:52";1.67;0;0;0
380;"2026-03-13 13:11:23";5.41;1;0;0
381;"2026-03-13 13:11:34";1.27;0;0;0
382;"2026-03-13 13:11:46";1.36;0;0;0
383;"2026-03-13 13:11:57";1.18;0;0;0
384;"2026-03-13 13:12:33";8.17;1;0;0
385;"2026-03-13 13:13:21";23.11;2;0;0
386;"2026-03-13 13:13:37";1.83;0;0;0
387;"2026-03-13 13:13:55";2.1;1;0;0
388;"2026-03-13 13:14:45";25.65;2;0;0
389;"2026-03-13 13:15:05";2.41;1;0;0
390;"2026-03-13 13:15:26";2.68;1;0;0
391;"2026-03-13 13:15:55";5.0;1;0;0
392;"2026-03-13 13:17:05";118.98;2;0;0
393;"2026-03-13 13:17:29";3.38;1;0;0
394;"2026-03-13 13:17:53";3.43;1;0;0
395;"2026-03-13 13:18:23";5.09;1;0;0
396;"2026-03-13 13:18:33";1.1;0;0;0
397;"2026-03-13 13:18:52";2.28;1;0;0
398;"2026-03-13 13:19:01";1.09;0;0;0
399;"2026-03-13 13:19:15";1.51;0;0;0
400;"2026-03-13 13:19:33";2.17;1;0;0
401;"2026-03-13 13:20:15";13.86;2;0;0
402;"2026-03-13 13:20:29";1.61;0;0;0
403;"2026-03-13 13:21:06";8.76;1;0;0
404;"2026-03-13 13:21:21";1.75;0;0;0
405;"2026-03-13 13:21:30";1.0;0;0;0
406;"2026-03-13 13:21:47";1.96;0;0;0
407;"2026-03-13 13:22:29";13.53;2;0;0
408;"2026-03-13 13:23:01";6.42;1;0;0
409;"2026-03-13 13:23:19";2.03;1;0;0
410;"2026-03-13 13:23:55";8.54;1;0;0
411;"2026-03-13 13:24:06";1.2;0;0;0
412;"2026-03-13 13:24:22";1.79;0;0;0
413;"2026-03-13 13:24:56";7.39;1;0;0
414;"2026-03-13 13:26:04";103.69;2;0;0
415;"2026-03-13 13:26:13";1.0;0;0;0
416;"2026-03-13 13:26:23";1.08;0;0;0
417;"2026-03-13 13:27:05";14.57;2;0;0
418;"2026-03-13 13:27:28";3.04;1;0;0
419;"2026-03-13 13:27:42";1.52;0;0;0
420;"2026-03-13 13:28:02";2.46;1;0;0
421;"2026-03-13 13:28:39";9.36;1;0;0
422;"2026-03-13 13:28:50";1.25;0;0;0
423;"2026-03-13 13:29:24";7.0;1;0;0
424;"2026-03-13 13:29:46";2.77;1;0;0
425;"2026-03-13 13:30:29";15.85;2;0;0
426;"2026-03-13 13:30:44";1.74;0;0;0
427;"2026-03-13 13:31:11";4.14;1;0;0
428;"2026-03-13 13:31:51";11.56;2;0;0
429;"2026-03-13 13:32:07";1.89;0;0;0
430;"2026-03-13 13:32:24";1.93;0;0;0
431;"2026-03-13 13:32:46";2.79;1;0;0
432;"2026-03-13 13:33:06";2.61;1;0;0
433;"2026-03-13 13:33:17";1.18;0;0;0
434;"2026-03-13 13:33:27";1.09;0;0;0
435;"2026-03-13 13:33:39";1.34;0;0;0
436;"2026-03-13 13:33:54";1.71;0;0;0
437;"2026-03-13 13:34:16";2.98;1;0;0
438;"2026-03-13 13:34:40";3.19;1;0;0
439;"2026-03-13 13:34:52";1.34;0;0;0
440;"2026-03-13 13:35:01";1.07;0;0;0
441;"2026-03-13 13:35:47";18.25;2;0;0
442;"2026-03-13 13:36:01";1.61;0;0;0
443;"2026-03-13 13:36:12";1.23;0;0;0
444;"2026-03-13 13:36:23";1.21;0;0;0
445;"2026-03-13 13:36:35";1.41;0;0;0
446;"2026-03-13 13:37:45";126.83;2;0;0
447;"2026-03-13 13:38:01";1.76;0;0;0
448;"2026-03-13 13:38:22";2.73;1;0;0
449;"2026-03-13 13:38:33";1.24;0;0;0
450;"2026-03-13 13:38:42";1.01;0;0;0
451;"2026-03-13 13:39:05";2.95;1;0;0
452;"2026-03-13 13:39:17";1.33;0;0;0
453;"2026-03-13 13:39:36";2.33;1;0;0
454;"2026-03-13 13:39:59";3.29;1;0;0
455;"2026-03-13 13:40:12";1.47;0;0;0
456;"2026-03-13 13:40:32";2.33;1;0;0
457;"2026-03-13 13:41:13";13.32;2;0;0
458;"2026-03-13 13:41:39";3.78;1;0;0
459;"2026-03-13 13:42:00";2.77;1;0;0
460;"2026-03-13 13:42:36";8.38;1;0;0
461;"2026-03-13 13:42:46";1.09;0;0;0
462;"2026-03-13 13:43:05";2.29;1;0;0
463;"2026-03-13 13:43:15";1.06;0;0;0
464;"2026-03-13 13:43:47";6.52;1;0;0
465;"2026-03-13 13:44:16";4.6;1;0;0
466;"2026-03-13 13:44:33";1.98;0;0;0
467;"2026-03-13 13:44:53";2.45;1;0;0
468;"2026-03-13 13:45:11";2.18;1;0;0
469;"2026-03-13 13:45:42";5.79;1;0;0
470;"2026-03-13 13:45:52";1.0;0;0;0
471;"2026-03-13 13:46:08";1.88;0;0;0
472;"2026-03-13 13:46:24";1.79;0;0;0
473;"2026-03-13 13:46:35";1.27;0;0;0
474;"2026-03-13 13:46:53";2.12;1;0;0
475;"2026-03-13 13:47:28";7.54;1;0;0
476;"2026-03-13 13:47:58";5.45;1;0;0
477;"2026-03-13 13:48:14";1.78;0;0;0
478;"2026-03-13 13:48:56";13.75;2;0;0
479;"2026-03-13 13:49:27";5.88;1;0;0
480;"2026-03-13 13:49:36";1.0;0;0;0
481;"2026-03-13 13:49:47";1.16;0;0;0
482;"2026-03-13 13:50:00";1.48;0;0;0
483;"2026-03-13 13:50:49";25.15;2;0;0
484;"2026-03-13 13:51:04";1.66;0;0;0
485;"2026-03-13 13:51:25";2.77;1;0;0
486;"2026-03-13 13:51:35";1.0;0;0;0
487;"2026-03-13 13:51:47";1.38;0;0;0
488;"2026-03-13 13:52:06";2.33;1;0;0
489;"2026-03-13 13:52:16";1.14;0;0;0
490;"2026-03-13 13:52:32";1.79;0;0;0
491;"2026-03-13 13:53:10";9.39;1;0;0
492;"2026-03-13 13:54:10";56.59;2;0;0
493;"2026-03-13 13:54:55";18.29;2;0;0
494;"2026-03-13 13:55:18";3.11;1;0;0
495;"2026-03-13 13:55:28";1.08;0;0;0
496;"2026-03-13 13:55:56";4.56;1;0;0
497;"2026-03-13 13:56:06";1.09;0;0;0
498;"2026-03-13 13:56:18";1.35;0;0;0
499;"2026-03-13 13:56:46";4.34;1;0;0
500;"2026-03-13 13:57:13";4.31;1;0;0
501;"2026-03-13 13:57:38";3.61;1;0;0
502;"2026-03-13 13:58:02";3.23;1;0;0
503;"2026-03-13 13:58:13";1.26;0;0;0
504;"2026-03-13 13:58:29";1.86;0;0;0
505;"2026-03-13 13:58:50";2.63;1;0;0
506;"2026-03-13 13:59:09";2.39;1;0;0
507;"2026-03-13 14:00:20";134.56;2;0;0
508;"2026-03-13 14:00:35";1.75;0;0;0
509;"2026-03-13 14:00:46";1.12;0;0;0
510;"2026-03-13 14:01:01";1.75;0;0;0
511;"2026-03-13 14:01:12";1.2;0;0;0
512;"2026-03-13 14:01:26";1.64;0;0;0
513;"2026-03-13 14:01:46";2.52;1;0;0
514;"2026-03-13 14:02:06";2.41;1;0;0
515;"2026-03-13 14:02:19";1.45;0;0;0
516;"2026-03-13 14:02:51";6.39;1;0;0
517;"2026-03-13 14:03:07";1.79;0;0;0
518;"2026-03-13 14:03:25";2.11;1;0;0
519;"2026-03-13 14:03:37";1.38;0;0;0
520;"2026-03-13 14:03:49";1.29;0;0;0
521;"2026-03-13 14:04:10";2.74;1;0;0
522;"2026-03-13 14:04:35";3.51;1;0;0
523;"2026-03-13 14:04:46";1.25;0;0;0
524;"2026-03-13 14:05:38";30.75;2;0;0
525;"2026-03-13 14:05:49";1.26;0;0;0
526;"2026-03-13 14:05:59";1.1;0;0;0
527;"2026-03-13 14:06:19";2.49;1;0;0
528;"2026-03-13 14:06:30";1.17;0;0;0
529;"2026-03-13 14:06:45";1.73;0;0;0
530;"2026-03-13 14:07:18";6.52;1;0;0
531;"2026-03-13 14:07:43";3.65;1;0;0
532;"2026-03-13 14:07:52";1.03;0;0;0
533;"2026-03-13 14:08:07";1.64;0;0;0
534;"2026-03-13 14:08:18";1.32;0;0;0
